time,<1,1,2,3,4,5,6,7,8,9,10,20,21,>40,SafeLow (<30m),Standard (<5m),Fast (<2m),
17-24-27,0,163.3,2.4,1.2,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.4,2,4,
17-24-59,0,163.3,2.4,1.2,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.4,2,4,
17-25-32,0,163.1,2.4,1.2,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.4,2,4,
17-26-4,0,163.1,2.4,1.2,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.4,2,4,
17-26-37,0,163.1,2.4,1.2,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.4,2,4,
17-27-10,0,163.7,2.4,1,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.4,1.8,4,
17-27-42,0,167,2.5,1,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.4,1.8,4,
17-28-15,0,167,2.5,1,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.4,1.8,4,
17-28-47,0,165.9,2.4,1,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.4,1.55,4,
17-29-20,0,164.1,2.4,1,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.4,1.6,4,
17-29-52,0,164.1,2.4,1,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.4,1.6,4,
17-30-25,0,159.5,2.4,1,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.4,1.6,4,
17-30-58,0,159.5,2.4,1,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.4,1.6,4,
17-31-31,0,159,2.4,0.9,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.4,1.6,4,
17-32-3,0,159,2.4,0.9,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.4,1.6,4,
17-32-36,0,159.4,2.4,0.9,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.4,2,4,
17-33-9,0,159.4,2.4,0.9,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.4,2,4,
17-33-42,0,159.4,2.4,0.9,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.4,2,4,
17-34-15,0,159.5,2.4,1,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.4,2,4.1,
17-34-47,0,159.5,2.4,1,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.4,2,4.1,
17-35-20,0,159.5,2.4,1,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.4,2,4.1,
17-35-52,0,161.9,2.4,1,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.4,1.9,4.1,
17-36-25,0,161.9,2.4,1,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.4,1.9,4.1,
17-36-57,0,161.9,2.4,1,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.4,1.9,4.1,
17-37-29,0,161.9,2.4,1,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.4,1.9,4.1,
17-38-2,0,162.9,2.4,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.4,1.9,4.1,
17-38-34,0,162.9,2.4,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.4,1.9,4.1,
17-39-7,0,165.7,2.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.4,1.9,4,
17-39-39,0,165.7,2.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.4,1.9,4,
17-40-13,0,165.7,2.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.4,1.9,4,
17-40-46,0,168.6,2.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.4,1.9,4.1,
17-41-19,0,168.6,2.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.4,1.9,4.1,
17-41-52,0,168.6,2.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.4,1.95,4.1,
17-42-24,0,172.1,2.6,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.4,2,4.1,
17-42-57,0,171.5,2.6,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.4,2,4,
17-43-30,0,163.5,2.4,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.4,2,4,
17-44-3,0,163.5,2.4,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.4,2,4,
17-44-35,0,163.5,2.4,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.4,1.85,4,
